Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Naive Bayes,0.8640139335476956,0.8642901653113487,0.8640139335476956,0.8639393043319606,0.08272933959960938
Logistic Regression,0.8842443729903537,0.8843657408321952,0.8842443729903537,0.8842083623546386,0.24530982971191406
